Rank,Player,Team,team_long_name,Bye,POS,FG,FGA,XPT,FPTS,ATT,CMP,YDS,TDS,INTS,FL,FPTS_qb,ATT_rb,YDS_rb,TDS_rb,REC,FL_rb,FPTS_rb,REC_te,YDS_te,TDS_te,FL_te,FPTS_te,REC_wr,YDS_wr,TDS_wr,ATT_wr,FL_wr,FPTS_wr,SACK,INT,FR,FF,TD,SAFETY,PA,YDS_AGN,FPTS_dst,ATT_flx,YDS_flx,TDS_flx,REC_flx,FL_flx,FPTS_flx,drafted_by
33,DJ Moore,CHI,Bears,7,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.2,1053.5,7,2,0.9,148.4,0,0,0,0,0,0,0,0,0,2,14.5,0.2,77.2,0.9,148.4,Next Year
34,DK Metcalf,SEA,Seahawks,10,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.7,1069.3,8.1,0,0.5,154.6,0,0,0,0,0,0,0,0,0,0,1.2,0,73.7,0.5,154.6,Undrafted
35,Travis Kelce,KC,Chiefs,6,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.1,971.6,7.5,0.8,141.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,7.5,0,90.1,0.8,141.5,Undrafted
36,Stefon Diggs,HOU,Texans,14,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.1,1019.6,6.6,1.9,1,140.6,0,0,0,0,0,0,0,0,0,1.9,9.2,0.1,84.1,1,140.6,Easy Marks
37,Isiah Pacheco,KC,Chiefs,6,RB,0,0,0,0,0,0,0,0,0,0,0,238.9,1066.8,8.5,41.2,1.4,194.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238.9,1066.8,8.5,41.2,1.4,194.4,Ninjas
38,DeVonta Smith,PHI,Eagles,5,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.5,1093,7.2,0,0.9,150.5,0,0,0,0,0,0,0,0,0,0,1.2,0,85.5,0.9,150.5,Americas Ass
39,Josh Jacobs,GB,Packers,10,RB,0,0,0,0,0,0,0,0,0,0,0,255,1056,8.3,39.2,1.1,191.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,1056,8.3,39.2,1.1,191.3,Americas Ass
40,Patrick Mahomes II,KC,Chiefs,6,QB,0,0,0,0,584.4,392,4371.2,32.5,11.4,3.1,335.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Undrafted
41,Lamar Jackson,BAL,Ravens,14,QB,0,0,0,0,464.6,304.2,3570.9,25.1,10.8,4.1,335.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Americas Ass
42,Malik Nabers,NYG,Giants,11,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.5,1048.4,5.6,0.5,1.2,136.6,0,0,0,0,0,0,0,0,0,0.5,5,0,79.5,1.2,136.6,Undrafted
43,Rachaad White,TB,Buccaneers,11,RB,0,0,0,0,0,0,0,0,0,0,0,241.5,934.1,6.6,54.3,1.7,184.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241.5,934.1,6.6,54.3,1.7,184.9,DirtDogs
44,Trey McBride,ARI,Cardinals,11,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,883.2,5.1,0.5,117.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0.5,117.6,Russ Riders
45,Amari Cooper,CLE,Browns,10,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.4,1094.8,6.3,0,0.9,145.3,0,0,0,0,0,0,0,0,0,0,1,0,72.4,0.9,145.3,Next Year
